#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCRELATIONS0;The very sight of [From.GetFullName] fills you with a seething rage. Mere words cannot describe how much you despise that [From.GetManWoman].;;;;;;;;;;;;;x
EVTDESCRELATIONS10;You have found that you and [From.GetFullName] get along surprisingly well, and the two of you have formed a potentially life-long friendship.;;;;;;;;;;;;;x
EVTDESCRELATIONS20;You're why, but for some reason, [From.GetFullName] simply doesn't infuriate you as much as [From.GetSheHe] once did. It is a strange thing to lose an enemy, but not an unpleasant one.;;;;;;;;;;;;;x
EVTDESCRELATIONS30;You are not having a good day. Coming to blows with one of your best friends is never pleasant, and [From.GetFirstName] simply refuses to see things your way. You fear your friendship may be over, permanently.;;;;;;;;;;;;;x
EVTDESCRELATIONS101;The enemy of my enemy is my...;;;;;;;;;;;;;x
EVTOPTARELATIONS101;...friend.;;;;;;;;;;;;;x
EVTOPTBRELATIONS101;...enemy's enemy. No more, no less.;;;;;;;;;;;;;x
EVTTOOLTIPRELATIONS102;may become your friend.;;;;;;;;;;;;;x
EVTDESCRELATIONS103;[From.GetFullName] and [FromFrom.GetFullName] - those underhanded weasels. They think you don't know, but you've seen the two of them conspiring behind your back.;;;;;;;;;;;;;x
EVTDESCRELATIONS104;You tried to approach [From.GetFirstName], but apparently [From.GetSheHe] simply doesn't seen things the way you do. It appears the two of you will go on simply sharing a common enemy.;;;;;;;;;;;;;x
EVTDESCRELATIONS301;You and [From.GetFullName] both share a mutual friend, one who is eager to see the two of you become friends as well.;;;;;;;;;;;;;x
EVTOPTARELATIONS301;All for one, and one for all!;;;;;;;;;;;;;x
EVTOPTBRELATIONS301;Friendship isn't transitive, you realize.;;;;;;;;;;;;;x
EVTTOOLTIPRELATIONS302;may become your friend.;;;;;;;;;;;;;x
EVTDESCRELATIONS303;You're glad to see that two of your best friends, [From.GetFullName] and [FromFrom.GetFullName], have begun enjoying each others presence more and more. The three of you have become inseparable.;;;;;;;;;;;;;x
EVTDESCRELATIONS304;It seems like [From.GetFirstName] simply doesn't see things the way you do. The two of you simply haven't managed to connect.;;;;;;;;;;;;;x
EVTDESCRELATIONS501;You have been spending a lot of time with [From.GetFullName] lately.;;;;;;;;;;;;;x
EVTOPTARELATIONS501;We should be friends!;;;;;;;;;;;;;x
EVTOPTBRELATIONS501;I can't stand [From.GetHerHis] stupid face.;;;;;;;;;;;;;x
EVTOPTCRELATIONS501;I'll just keep to myself.;;;;;;;;;;;;;x
EVTTOOLTIPRELATIONS502;might become your friend.;;;;;;;;;;;;;x
EVTDESCRELATIONS502;You and [From.GetFullName] have been spending a lot of time together lately. [From.GetSheHeCap] says [From.GetSheHe] wants to be friends with you.;;;;;;;;;;;;;x
EVTOPTARELATIONS502;Sure, I'll be your friend!;;;;;;;;;;;;;x
EVTOPTBRELATIONS502;Leave me alone!;;;;;;;;;;;;;x
EVTDESCRELATIONS700;One of your close friends is deeply in debt, and as it happens, you have a few spare credits lying around. Perhaps you could help them out?;;;;;;;;;;;;;x
EVTOPTARELATIONS700;A friend in need...;;;;;;;;;;;;;x
EVTOPTBRELATIONS700;I have troubles of my own.;;;;;;;;;;;;;x
EVTDESCRELATIONS701;TO: [Root.GetFullName]\nFROM: [From.GetFullName]\nRE: Financial problems\nSorry to hear about your financial situation. Here, from one friend to another. Hope it helps!;;;;;;;;;;;;;x
